product,total_quantity_sold,total_revenue,average_quantity_sold,predicted_60_day_quantity,reason
Bru Green Label 200G,42.0,159.6,42.0,2520.0,Prediction is based on average quantity sold during the given timeframe.
Bru Green Label 500 Gms,92.0,643.08,92.0,5520.0,Prediction is based on average quantity sold during the given timeframe.
Brum,14.0,55.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Burn Country Chicken,303.49,2728.55,303.49,18209.4,Prediction is based on average quantity sold during the given timeframe.
Bush Garbanzo Chick peas,3.0,5.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Byadgi Red Chili Powder 200G,8.0,39.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
C F Diya (Di-26),2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
CH DIVYA,1.0,4.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
CHAR MAGAZ 200G,10.0,64.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
CHILLI PLANT,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
CHOCART DHUBAI MILK CHOCOLATE 95G,28.0,195.72,28.0,1680.0,Prediction is based on average quantity sold during the given timeframe.
CHOCART KUNAFA PISTACHIO 37G,61.0,121.39,61.0,3660.0,Prediction is based on average quantity sold during the given timeframe.
CHUKKU MALLI 100G,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
CHUTNEFY GREEN CHUTNEY,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
CINNAMON ESSENTIAL OIL,1.0,3.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
CLAY GANESH 12 INCH,18.0,807.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
CLAY ganesh 9 inch,41.0,1225.59,41.0,2460.0,Prediction is based on average quantity sold during the given timeframe.
CLEANING BRUSH,10.0,12.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
COCONUT,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
COLGATE CHARCOAL,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
COLGATE SENSITIVE PASTE,5.0,24.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
COOKIE,4.0,1.0,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
CURRY LEAF PLANT,2.0,51.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
CUT PAPAPYA,1.02,6.11,1.02,61.2,Prediction is based on average quantity sold during the given timeframe.
CUT PINEAPLE,3.0,17.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
CYCLE OM SHANTHI JASMINE OIL,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Cabbage Green/ Lb,1001.93,691.37,1001.93,60115.799999999996,Prediction is based on average quantity sold during the given timeframe.
Cadbury D Milk Wnut 45G,56.0,111.44,56.0,3360.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Dairy Milk Choc 45G,176.0,350.24,176.0,10560.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Eclairs 130 G,48.0,143.52,48.0,2880.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Flakes 34G,139.0,234.91,139.0,8340.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Fruit & Nut 49Gm,122.0,242.78,122.0,7320.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Twirl,61.0,121.39,61.0,3660.0,Prediction is based on average quantity sold during the given timeframe.
Cadbury Wholenut 120G,23.0,91.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Candy Packet,3.0,5.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Canola Oil 1 Gal,6.0,71.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Carrots 2Lb,21.0,41.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Carrots/Lb,232.98,230.71,232.98,13978.8,Prediction is based on average quantity sold during the given timeframe.
CarsiBasi Dubai chocolate,54.0,539.46,54.0,3240.0,Prediction is based on average quantity sold during the given timeframe.
Cashew Whole 400G,49.0,440.51,49.0,2940.0,Prediction is based on average quantity sold during the given timeframe.
Cauliflower,408.31,1378.86,408.31,24498.6,Prediction is based on average quantity sold during the given timeframe.
Cello Carrots / Each,185.0,183.15,185.0,11100.0,Prediction is based on average quantity sold during the given timeframe.
Century Meat Masala,1.0,1.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Chandan Pooja Powder,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Chandan Sweety Imli,2.0,9.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chandrika Soap 125G,23.0,45.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Chaokoh Coconut Milk,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chaokoh Coconut Milk 400Ml,131.0,391.69,131.0,7860.0,Prediction is based on average quantity sold during the given timeframe.
Chaokoh Coconut Water,6.0,23.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Charminar Camphor 100Gm,2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chayote Squash\Lb,15.51,15.36,15.51,930.6,Prediction is based on average quantity sold during the given timeframe.
Chef Choice Chia Seeds 200g,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Chef's Ch Coconut milk 400ml,7.0,13.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Chettinad Barnyard Millet 2LB,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chettinad Foxtail Millet 2LB,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Chettinad Jaggery Powder907g,16.0,95.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Chettinad Little millet 2lb,3.0,11.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Chettinad kodo Millet,3.0,8.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Chicken 65 Masala,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Chicken Tikka 90G,2.0,2.58,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chicken Wings / Lb,25.6,102.09,25.6,1536.0,Prediction is based on average quantity sold during the given timeframe.
Chinese Long Eggplant,317.76,594.75,317.76,19065.6,Prediction is based on average quantity sold during the given timeframe.
Chinese Manchurian 44g,7.0,13.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Chilli Vinegar 170 Ml,20.0,45.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Chowmein 140G,1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Green Chilli Sau-200Gm,30.0,59.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Hakka Egg Noodles 150G,11.0,19.9,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Hakka Veg Noodle 150Gm,38.0,75.62,38.0,2280.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Red Chilli Sauce 200 G,33.0,96.67,33.0,1980.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Schezwan Chutney 250G,16.0,47.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Schezwan Stir Fry250g,26.0,77.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Ching's Veg Hakka Noodle 600G,54.0,269.46,54.0,3240.0,Prediction is based on average quantity sold during the given timeframe.
Chings Singapore Noodles 300Gm,22.0,43.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Chkn Breast,1281.21,7653.84,1281.21,76872.6,Prediction is based on average quantity sold during the given timeframe.
Chkn Brst Ground,385.33,2308.14,385.33,23119.8,Prediction is based on average quantity sold during the given timeframe.
Chkn Drumstick,1087.66,4338.45,1087.66,65259.600000000006,Prediction is based on average quantity sold during the given timeframe.
Chkn Leg Qtr,3431.64,13692.87,3431.64,205898.4,Prediction is based on average quantity sold during the given timeframe.
Chkn Liver,13.08,32.56,13.08,784.8,Prediction is based on average quantity sold during the given timeframe.
Chkn Tender,9.79,63.54,9.79,587.4,Prediction is based on average quantity sold during the given timeframe.
Chkn Thi Bnls,1463.63,8035.36,1463.63,87817.8,Prediction is based on average quantity sold during the given timeframe.
Chkn Thi Bone In,64.93,226.57,64.93,3895.8,Prediction is based on average quantity sold during the given timeframe.
Chkn Thi Grnd,273.57,1501.98,273.57,16414.2,Prediction is based on average quantity sold during the given timeframe.
Chkn Whole Cut,11091.03,47555.9,11091.03,665461.8,Prediction is based on average quantity sold during the given timeframe.
Chocolate Kulfi 80Ml,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Choyte /Lb,3.45,3.41,3.45,207.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Allam Chutney 75G,5.0,19.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Chettinad Kurma 65G,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Coconut Chutney 75G,18.0,71.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Corriander Chutney 75G,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Hotel Sambar 75G,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Spicy Onion 75G,15.0,59.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Chutnefy Tomato Chutney 75G,13.0,51.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Chyote /Lb,261.06,336.71,261.06,15663.6,Prediction is based on average quantity sold during the given timeframe.
Cilantro - Per Bunch,9253.31,4185.3,9253.31,555198.6,Prediction is based on average quantity sold during the given timeframe.
Cinnamon Pwdr 100G,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Cinnamon Stick Round(400Gm),2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Cinthol Health Soap,10.0,19.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Clay Fish Curry Handi 2lt,1.0,19.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Clay Handi With Cover 2lt,1.0,34.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Clove Oil,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Coca Cola 2 Lit,11.0,42.9,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Coco India Coconut N Water llt,19.0,76.9,19.0,1140.0,Prediction is based on average quantity sold during the given timeframe.
Coco India Cream 400Ml,5.0,12.45,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Coconut / Each,1399.76,4185.29,1399.76,83985.6,Prediction is based on average quantity sold during the given timeframe.
Coconut Hair Oil 150Ml,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Coconut Hair Oil 200Ml,4.0,23.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Coconut Sugar(500G),1.0,11.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Coke,3.0,10.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Colgate Herbal 200Gm,20.0,79.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Colgate Lemon Salt/200Gm,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Colgate Tooth Pwd 100g,13.0,38.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Colgate Total Paste 120gm,11.0,52.9,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Colgate Vedshakti 200G,5.0,19.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Colo Chkn Samosa,1.0,7.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Comb Big,8.0,19.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Comb Big 2*1,9.0,35.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Comb Small (2Pc),1.0,1.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Condensed Milk 14 Oz,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Coorgbrew 340G,36.0,359.64,36.0,2160.0,Prediction is based on average quantity sold during the given timeframe.
Copper Glass 1 pcs,1.0,4.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Copper Havan Kund Mini,1.0,5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Copper Jug # 4,1.0,32.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Copper Kalash #10,1.0,16.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Copper Kalash #5,2.0,17.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Copper Spoon,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Copper Tarbhana # 4,4.0,7.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Corn Pack,82.0,81.18,82.0,4920.0,Prediction is based on average quantity sold during the given timeframe.
Corn Piece,185.0,259.65,185.0,11100.0,Prediction is based on average quantity sold during the given timeframe.
Cothas Coffee 182G,1.0,3.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Cothas Filter Coffee Decoction,1.0,5.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Cothas INstant Coffee 200g,6.0,68.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Cothas Royal Blend 190g,12.0,107.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Country M Dozen Eggs,185.0,1150.15,185.0,11100.0,Prediction is based on average quantity sold during the given timeframe.
Country Mornign Eggs,15.0,74.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Crispy Almond Cookie 350Gm,5.0,19.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Crispy Coconut Cookies 350Gm,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Crispy Pista Cookie 400Gm,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Flax seed peanut chikki 275g,7.0,34.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Multi grain Peanut chikki 275g,3.0,14.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Multi seed chikki 200gm,6.0,29.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Quinoa peanut chikki 275g,6.0,29.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Ragi moringa chikki 200gm,4.0,19.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight Ramdana ball 200g,1.0,4.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy Delight chia seed Peanut chikki 275g,1.0,4.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Crunchy delight Ragi chikki 200g,2.0,9.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Crushed Peanut Chikki Puja100G,29.0,43.21,29.0,1740.0,Prediction is based on average quantity sold during the given timeframe.
Cucumber,702.86,695.79,702.86,42171.6,Prediction is based on average quantity sold during the given timeframe.
Curd Pot (1.5lt),3.0,47.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Curry Leaves Bag,3204.18,3170.64,3204.18,192250.8,Prediction is based on average quantity sold during the given timeframe.
Cut Coconut,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Cut Jackfruit,554.0,3318.46,554.0,33240.0,Prediction is based on average quantity sold during the given timeframe.
Cut Vegetables,345.13,1363.07,345.13,20707.8,Prediction is based on average quantity sold during the given timeframe.
Cycle 3 In 1,9.0,8.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Cycle Pure Puja Oil Tulsi 500M,9.0,40.41,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Cycle Pure Puja Oil500Ml,8.0,35.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Cycle Sandal Puja Oil 500Ml,2.0,8.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Cycle Sandalam Agarbatti 14G,18.0,17.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Cycle Three In One,30.0,119.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
DABOUR BS+CO TOOTHPASTE 132G,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
DABOUR GINGER + MINT TOOTHPAST,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
DD Andhra muruku 300g,13.0,51.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
DECCAN LOW GI SONA MASOORI 20L,9.0,215.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
DECCAN SONA MASOORI RICE 10LB,4.0,51.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
DEEP 5 STAR ATTA 4LB,14.0,83.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
DEEP ALPHONSO MANGO PULP,10.0,59.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
DEEP BLACK RAISINS 14 OZ,2.0,9.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
DEEP CASHEW SPLIT 7 OZ,27.0,107.73,27.0,1620.0,Prediction is based on average quantity sold during the given timeframe.
DEEP METHI 283G,4.0,11.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
DEEP MINT CHUTNEY,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
DEEP RED CHILI POWDER 400GM,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
DEEP sHAKTHI OIL 450ML,55.0,164.45,55.0,3300.0,Prediction is based on average quantity sold during the given timeframe.
DEWAN TEA RUSK RAISINS 200G,1.0,3.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
DH SEMOLINA ROASTED RAVA 500G,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
DOVE CREAM BAR,16.0,31.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
DRIED APRICOTS,3.0,13.47,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
DRY COCONUT,2.0,5.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Daawat Basmati Rice 10 Lb,15.0,284.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Daawat Ultima Xtral Rice 10Lb,23.0,436.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Dabour Gulabi Rose Water 250Ml,26.0,90.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Aloevera T.Paste 100Ml,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Alphonso Mango 1L,13.0,38.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Amla Gold Hair Oil 300Ml,1.0,6.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Amla Hair Oil 300Ml,5.0,29.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Amla Hair Oil-200Ml,5.0,19.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Amla Lite 200Ml,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Blackseed T.Paste 100Ml,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Guava Drink 1lt,10.0,29.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Herbal Clove Toothp 100M,15.0,44.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Herbal Neem Toothpa 200M,10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Herbal Toothpaste Imperi,4.0,15.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Keora Water 250Ml,2.0,3.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Meswak 200G,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Meswak Toothpaste 200Gm,44.0,148.56,44.0,2640.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Mustard Oil 1 Lt,18.0,143.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Mustard Oil 250Ml,11.0,32.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Mustard Oil 500Ml,17.0,67.83,17.0,1020.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Mustard Oil 5Lt,1.0,28.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Orange Juice 1lt,14.0,40.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Real 100% Apple Juice 1lt,2.0,6.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Real Green Mango 1L,10.0,29.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Real Litchi 1lt,11.0,32.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Real Mango Nector 1 L,6.0,17.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Red Tooth Paste 200G,6.0,17.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Red Toothpaste 200ml,63.0,249.38,63.0,3780.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Rose Syrup-710ML,4.0,19.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Rose Water 8.25Oz,23.0,54.07,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Sesame Oil 1 Lit,20.0,219.8,20.0,1200.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Sesame Oil 250Ml,24.0,83.76,24.0,1440.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Sesame Oil 500Ml,15.0,89.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Vatika Argan Oil 300Ml,1.0,6.49,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Dabur Vatika Egg Protein Mask,4.0,23.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Daccan Brown Rice 20Lb,5.0,114.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Arvi 400G,1.0,2.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Avalosunda 400g,1.0,3.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Bombay mixture 400g,4.0,15.96,4.0,240.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Cut MAngo 400gm,3.0,11.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Ellu Murukku 250g,18.0,71.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight GooseBerry 400gm,15.0,59.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Grated Coconut 454G,46.0,229.54,46.0,2760.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Karaseva 250g,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Kerala Muruku 250g,3.0,11.97,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Kerala mixture 400g,22.0,87.78,22.0,1320.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Neyyappam 350g,2.0,7.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Red Onion 400gm,18.0,71.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Suran 454g,25.0,99.75,25.0,1500.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight Wheat Porotta 1Lbs,7.0,27.93,7.0,420.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight banana chips 250g,24.0,107.76,24.0,1440.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight kerala mixture 400g,15.0,59.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Daily Delight kuzhalappam 200g,12.0,47.88,12.0,720.0,Prediction is based on average quantity sold during the given timeframe.
Daily delight Malabar Porotta Family 2LB,16.0,111.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Daily delight Sambar Mix 400gm,5.0,14.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Dairy Mllk Hazelnut,2.0,11.98,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Dairy milk Fruit & nut 49g,30.0,59.7,30.0,1800.0,Prediction is based on average quantity sold during the given timeframe.
Dairymilk Caramel 45g,16.0,31.84,16.0,960.0,Prediction is based on average quantity sold during the given timeframe.
Dairymilk Fruit&Nut 110Gm,21.0,83.79,21.0,1260.0,Prediction is based on average quantity sold during the given timeframe.
Dairymilk Milk&Choc 110Gm,227.0,905.73,227.0,13620.0,Prediction is based on average quantity sold during the given timeframe.
Daliy Delight Pakkavada 175g,8.0,31.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy Bigchocofills150G,23.0,45.77,23.0,1380.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy Bourbon 150g,9.0,17.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy Bourbon 400g,15.0,45.85,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy Choco Fills 75G,44.0,58.96,44.0,2640.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy Fantastik 150g,14.0,29.86,14.0,840.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy choco Nut Fills 75G,15.0,21.35,15.0,900.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy choco Nut Fills150G,2.0,3.48,2.0,120.0,Prediction is based on average quantity sold during the given timeframe.
Dark Fantasy choco cremeFantastik 150G,44.0,99.56,44.0,2640.0,Prediction is based on average quantity sold during the given timeframe.
Dark FantasyChoco Style Fills 300g,26.0,109.74,26.0,1560.0,Prediction is based on average quantity sold during the given timeframe.
Dark fantasy Choco Style Meltz 300g,13.0,51.87,13.0,780.0,Prediction is based on average quantity sold during the given timeframe.
Dark fantasy Choco Style Nut Fills 300 G,18.0,71.82,18.0,1080.0,Prediction is based on average quantity sold during the given timeframe.
Dark fantasy Coffee Style Fills 300 Grm,11.0,45.89,11.0,660.0,Prediction is based on average quantity sold during the given timeframe.
Darkfantasy Coffee Fills 75g,3.0,4.47,3.0,180.0,Prediction is based on average quantity sold during the given timeframe.
Dd Dosa Batter Fresh,25.0,224.75,25.0,1500.0,Prediction is based on average quantity sold during the given timeframe.
Dd Idli Batter,9.0,80.91,9.0,540.0,Prediction is based on average quantity sold during the given timeframe.
Dd Methi 8Pcs,10.0,39.9,10.0,600.0,Prediction is based on average quantity sold during the given timeframe.
Dd Roti 8Ct,6687.5,15583.17,6687.5,401250.0,Prediction is based on average quantity sold during the given timeframe.
Deccan Crystal Sona Masoori 20Lb,8.0,215.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Deccan Dosa Rice 10Lbs,1.0,12.99,1.0,60.0,Prediction is based on average quantity sold during the given timeframe.
Deccan Gobindobhog/10Lb,5.0,99.95,5.0,300.0,Prediction is based on average quantity sold during the given timeframe.
Deccan IdlI Rava 2LB,8.0,23.92,8.0,480.0,Prediction is based on average quantity sold during the given timeframe.
Deccan Idli Rice 10Lb,6.0,71.94,6.0,360.0,Prediction is based on average quantity sold during the given timeframe.
