product,total_quantity_sold,total_revenue,average_quantity_sold,average_revenue,number_of_records
Laxmi Jaggery Cubes 2Lb,22.0,87.78,22.0,87.78,1
Laxmi Kabuli Chana 2Lb,22.0,87.78,22.0,87.78,1
Britannia Good Day Butter Cookies 231g,22.0,87.78,22.0,87.78,1
maaza mango 1.2 ltr,22.0,87.78,22.0,87.78,1
Pitambari 150G,25.0,87.25,25.0,87.25,1
Pears Blue,35.0,87.15,35.0,87.15,1
Britannia Milk Rusk-315Gm,29.0,86.71,29.0,86.71,1
Lx Roasted Chana 400g,29.0,86.71,29.0,86.71,1
Kitchen Xpress Chikoo Slice 312g,29.0,86.71,29.0,86.71,1
Deep Coriander Seeds 200G,29.0,86.71,29.0,86.71,1
Priya Cut Mango (W/ Garlic),29.0,86.71,29.0,86.71,1
Priya Mango Pickle (W/ Garlic) 300g,29.0,86.71,29.0,86.71,1
RAM POHA NYLON 2LB,29.0,86.71,29.0,86.71,1
Deep Sunflower Seeds 7 Oz,32.0,86.68,32.0,86.68,1
Maggi Veg Masala Noodles 290g,22.0,85.79,22.0,85.79,1
Laxmi Saffron 1G,22.0,85.78,22.0,85.78,1
Laxmi Mahab.Roasted Chana 400G,25.0,85.75,25.0,85.75,1
Yellow Onion 3Lb,43.0,85.57,43.0,85.57,1
Ruchi Nutrela Soya Granules7oz,43.0,85.57,43.0,85.57,1
Britnnia Bourbon original 97g,86.0,85.14,86.0,85.14,1
Laxmi Brown Sona masoori 10Lb,5.0,84.95,5.0,84.95,1
Laxmi Brown Basamti Rice,5.0,84.95,5.0,84.95,1
Kadai ss No.13,5.0,84.95,5.0,84.95,1
Idhayam Gingely Oil 2Lt.,5.0,84.95,5.0,84.95,1
uncle chips spicy,57.0,84.93,57.0,84.93,1
Kohinoor Extra Flavor Basmati1Kg,17.0,84.83,17.0,84.83,1
Laxmi Bhindi Cut 2Lb,17.0,84.83,17.0,84.83,1
Laxmi Extra Hot Red Chili 400G,17.0,84.83,17.0,84.83,1
Umberlla Big,17.0,84.83,17.0,84.83,1
Super Tower Gulkand(800Gms),17.0,84.83,17.0,84.83,1
Swagat Kalachana 4Lb,17.0,84.83,17.0,84.83,1
Laxmi Ajwain Seeds 400G,17.0,84.83,17.0,84.83,1
Telugu Ginger Garlic Paste680G,17.0,84.83,17.0,84.83,1
Ashoka Mini Punjab Samosa 45Pc,6.0,83.94,6.0,83.94,1
Deep Shredded Coconut,12.0,83.88,12.0,83.88,1
Laxmi Kala Chana (4Lb),12.0,83.88,12.0,83.88,1
Laxmi Ragi Flour 4Lb,14.0,83.86,14.0,83.86,1
DEEP 5 STAR ATTA 4LB,14.0,83.86,14.0,83.86,1
Laxmi Tamarind Concentrade 14O,14.0,83.86,14.0,83.86,1
Telugu Rice Rava 4 Lb,14.0,83.86,14.0,83.86,1
ULVACHARU,14.0,83.86,14.0,83.86,1
Sri Ganesh Adai Dosa Batter,14.0,83.86,14.0,83.86,1
Laxmi Coconut Powder Fine 400G,21.0,83.79,21.0,83.79,1
Maaza Guava Btl- 1 Lt,21.0,83.79,21.0,83.79,1
VISWAS CUT MANGO 400G,21.0,83.79,21.0,83.79,1
Laxmi Whole Urad 2Lb,21.0,83.79,21.0,83.79,1
Swagat Channa 2Lb,21.0,83.79,21.0,83.79,1
Laxmi Sabudana 2 Lb,21.0,83.79,21.0,83.79,1
Dairymilk Fruit&Nut 110Gm,21.0,83.79,21.0,83.79,1
Dabur Sesame Oil 250Ml,24.0,83.76,24.0,83.76,1
Shan Ginger Garlic Paste 310Gm,24.0,83.76,24.0,83.76,1
INDIAN PLANTS,14.99,82.96,14.99,82.96,1
     Snacks & Sweets / Can Sweets,14.0,82.86,14.0,82.86,1
Ramdev Poha corn,34.0,82.66,34.0,82.66,1
telugu sea salt 2lb,33.0,82.17,33.0,82.17,1
Laxmi Tindora,41.0,81.59,41.0,81.59,1
Corn Pack,82.0,81.18,82.0,81.18,1
telugu sesame chikki balls,33.0,81.17,33.0,81.17,1
Haldirams Peda 340G,9.0,80.91,9.0,80.91,1
Lx Kaju Katli 350G,9.0,80.91,9.0,80.91,1
Mdh Chunky Chat Masala 500G,9.0,80.91,9.0,80.91,1
PIA HENNA BLACK COLOR,9.0,80.91,9.0,80.91,1
Dd Idli Batter,9.0,80.91,9.0,80.91,1
Bhumi Organic Moong 5Lb,9.0,80.91,9.0,80.91,1
Pond's DreamFlower 400g,11.0,80.91,11.0,80.91,1
Laxmi Mustard Seeds 400Gm,27.0,80.73,27.0,80.73,1
Laxmi Sooji Fine 2Lb,27.0,80.73,27.0,80.73,1
Laxmi Yellow Vatana 2Lb,27.0,80.73,27.0,80.73,1
Ramdev Chana dalia split 400g,27.0,80.73,27.0,80.73,1
24M Organic Sona Masuri 10lb,4.0,79.96,4.0,79.96,1
Sujata Multigrain Atta 10 Lb,5.0,79.95,5.0,79.95,1
Nescafe 200G,5.0,79.95,5.0,79.95,1
Red Label Tea500Gms,10.0,79.9,10.0,79.9,1
Avani Gingelly Oil,10.0,79.9,10.0,79.9,1
Deep Madras Coffee 500G,10.0,79.9,10.0,79.9,1
Deep Toor Dal 4lb,10.0,79.9,10.0,79.9,1
Spd Toor Dal 4Lb,10.0,79.9,10.0,79.9,1
Meharban Safawi Dates 400G,10.0,79.9,10.0,79.9,1
Swetha Peanut Oil 1 Liter,10.0,79.9,10.0,79.9,1
Reddy's Urad Gota 4LB,10.0,79.9,10.0,79.9,1
Swetha Jaggery Powder 2LB,16.0,79.84,16.0,79.84,1
Laxmi All Purpose Flour(4Lbs),16.0,79.84,16.0,79.84,1
Deccan Idly Rava 4lb,16.0,79.84,16.0,79.84,1
Foxtail millet rava,16.0,79.84,16.0,79.84,1
Ramdev rice flour 4lb,16.0,79.84,16.0,79.84,1
Deep Sooji 2 Lb,20.0,79.8,20.0,79.8,1
Britania Eggless Fruit Cake,20.0,79.8,20.0,79.8,1
Deep Roasted Upma Rava -2Lb,20.0,79.8,20.0,79.8,1
Colgate Herbal 200Gm,20.0,79.8,20.0,79.8,1
Swarna Chakki Atta 4Lbs,20.0,79.8,20.0,79.8,1
Swagat Toor Dal Plain 2Lb,20.0,79.8,20.0,79.8,1
Gazab Cashew Pieces 200G,20.0,79.8,20.0,79.8,1
Laxmi Tamarind Datechutney 8Oz,20.0,79.8,20.0,79.8,1
Lx.Mustard Seeds(800),20.0,79.8,20.0,79.8,1
Vadilal Coconut Slices- 11Oz,23.0,79.77,23.0,79.77,1
Amul Dark Chocolate mini,32.0,79.18,32.0,79.18,1
Sunfeat Moms Magic 750g,12.0,78.88,12.0,78.88,1
Laxmi Clove Whole(100G),19.0,78.81,19.0,78.81,1
Britannia 50 50 Chaska Maska,79.0,78.21,79.0,78.21,1
TULSI KYARA BIG,3.0,77.97,3.0,77.97,1
Laxmi Kerala Kuthari Matta Ric,3.0,77.97,3.0,77.97,1
Falak Basmati Extrm 10Lb,6.0,77.94,6.0,77.94,1
Deccanbrown sonamasooriRice,6.0,77.94,6.0,77.94,1
Tata Tea Premium 450G,13.0,77.87,13.0,77.87,1
Tata Tea Gold 450G,13.0,77.87,13.0,77.87,1
Wagh Bakri Masala 200G,13.0,77.87,13.0,77.87,1
Himalaya Aloe Vera Face Wash,13.0,77.87,13.0,77.87,1
Swagat Alu Bukhara Red 400G,13.0,77.87,13.0,77.87,1
Laxmi Ginger Paste (24Oz),13.0,77.87,13.0,77.87,1
MODA BAKLAVA PISTACHIO 30G,26.0,77.74,26.0,77.74,1
Deep Aloo Paratha 12 Oz,26.0,77.74,26.0,77.74,1
TELUGU BYADGI CHILLI 200G,26.0,77.74,26.0,77.74,1
Ching's Schezwan Stir Fry250g,26.0,77.74,26.0,77.74,1
Green Vatana (Peas) / Lb,15.56,77.64,15.56,77.64,1
Amul cool drink,39.0,77.61,39.0,77.61,1
Shan Ginger Garlic Paste 700Gm,13.0,77.37,13.0,77.37,1
Vadilal Butterscotch 1lit,7.0,76.93,7.0,76.93,1
Deep Aloo Paratha 16pc,7.0,76.93,7.0,76.93,1
Nanak Gulab Jamun 20Pcs,7.0,76.93,7.0,76.93,1
Coco India Coconut N Water llt,19.0,76.9,19.0,76.9,1
Sujata Tawa Chapathi 30Pcs,11.0,76.89,11.0,76.89,1
Deep Ginger Garlic Paste 25Oz,11.0,76.89,11.0,76.89,1
Aara Fennel Seeds 400Gm,11.0,76.89,11.0,76.89,1
Gazab Sugar 4 Lb,11.0,76.89,11.0,76.89,1
Laxmi Masoor Dal 4Lb,11.0,76.89,11.0,76.89,1
Parle Bake Smith 150G,52.0,76.48,52.0,76.48,1
maggie veg atta 72.5 g,77.0,76.23,77.0,76.23,1
Bambino Vermicelli 350Gm,31.0,76.19,31.0,76.19,1
Non Stick Dosa Tawa,4.0,75.96,4.0,75.96,1
Haldiram's Kaju Roll 340gm,6.0,75.94,6.0,75.94,1
Brooke Bond 3 Roses 500G,9.0,75.82,9.0,75.82,1
ramdev Hing 100g,19.0,75.81,19.0,75.81,1
Deep Urad Gota 2lb,19.0,75.81,19.0,75.81,1
Telugu Rice Rava 2Lb,19.0,75.81,19.0,75.81,1
Adukale Rice Kodubale Rings 180g,19.0,75.81,19.0,75.81,1
adukale onion ring 180g,19.0,75.81,19.0,75.81,1
Laxmi Corriander Pwdr 200G,38.0,75.62,38.0,75.62,1
Maaza Mango Juice 330Ml,38.0,75.62,38.0,75.62,1
Ching's Hakka Veg Noodle 150Gm,38.0,75.62,38.0,75.62,1
ocean pearl golden sella basmati rice 20LB,3.0,74.97,3.0,74.97,1
telugu brown sona masoori 20lb,3.0,74.97,3.0,74.97,1
Tattva Organic Biryani Basmatirice10Lb,3.0,74.97,3.0,74.97,1
Gazab Best Extra Long 20Lb,3.0,74.97,3.0,74.97,1
Swarna Chakki Atta 20 Lbs,5.0,74.95,5.0,74.95,1
bangles,13.0,74.87,13.0,74.87,1
sweet tamarind,15.0,74.85,15.0,74.85,1
Top Ramen Masala 480 Gms,15.0,74.85,15.0,74.85,1
Country Mornign Eggs,15.0,74.85,15.0,74.85,1
val cassatta 150 ml,15.0,74.85,15.0,74.85,1
Gzb Chakkai Atta 4Lb,15.0,74.85,15.0,74.85,1
Priya Tomato300g (W/ Garlic),25.0,74.75,25.0,74.75,1
Gazab Raw Peanuts 400G,30.0,74.7,30.0,74.7,1
Ramdev Mamra Regular 400g,19.0,73.79,19.0,73.79,1
Parle-G 376G,36.0,73.64,36.0,73.64,1
Ahmed Pheni Vermiceli,37.0,73.63,37.0,73.63,1
Frooti Pet Bottle 500g,37.0,73.63,37.0,73.63,1
Laxmi Rusk 300G,37.0,73.63,37.0,73.63,1
MILK BIKIES MINIS KREMZ 200g,21.0,73.29,21.0,73.29,1
Laxmi Black Pepper Whole 100G,28.0,73.22,28.0,73.22,1
Diya Plain Small,24.0,72.76,24.0,72.76,1
Britannia Digestive Small 200Gm,29.0,72.21,29.0,72.21,1
Amma Country 285 Gms,29.0,72.21,29.0,72.21,1
Laxmi Crushed P Chikki,29.0,72.21,29.0,72.21,1
carrom toy big(MUltiple games,2.0,71.98,2.0,71.98,1
Aluminium flat kadai # 7,3.0,71.97,3.0,71.97,1
Deccan Idli Rice 10Lb,6.0,71.94,6.0,71.94,1
Canola Oil 1 Gal,6.0,71.94,6.0,71.94,1
Laxmi Bullet Naan 1.2Kg,8.0,71.92,8.0,71.92,1
Reddy's Toor dal 4LB,9.0,71.91,9.0,71.91,1
Lasa Lamsa Mix 450G,9.0,71.91,9.0,71.91,1
BANSI PURE COW GHEE 15 OZ,9.0,71.91,9.0,71.91,1
Haldiram Tandoori Naan 16Pcs,9.0,71.91,9.0,71.91,1
Ramdev Poha Thick 4Lb,12.0,71.88,12.0,71.88,1
Himalaya Oil Clear Lemon,12.0,71.88,12.0,71.88,1
Adukale Benne muruku 180g,18.0,71.82,18.0,71.82,1
Rooh Afza Syrup 800 Ml,18.0,71.82,18.0,71.82,1
Amul honey 250g,18.0,71.82,18.0,71.82,1
Dark fantasy Choco Style Nut Fills 300 G,18.0,71.82,18.0,71.82,1
Laxmi Kasmiri Powder 200Gm,18.0,71.82,18.0,71.82,1
Daily Delight Ellu Murukku 250g,18.0,71.82,18.0,71.82,1
Daily Delight Red Onion 400gm,18.0,71.82,18.0,71.82,1
Chutnefy Coconut Chutney 75G,18.0,71.82,18.0,71.82,1
Laxmi small mustard seeds,24.0,71.76,24.0,71.76,1
Deep Fr Coconut Shredded-340Gm,24.0,71.76,24.0,71.76,1
KItchen Xpress Tindora 312g,24.0,71.76,24.0,71.76,1
Vadilal Drumsticks- 11Oz/312Gm,24.0,71.76,24.0,71.76,1
Brittania 50-50 Fp,24.0,71.76,24.0,71.76,1
Tamicon Concetrate Paste,36.0,71.64,36.0,71.64,1
ID HOMESTYLE WHOLE WHEAT,36.0,71.64,36.0,71.64,1
Green Peanuts/Lb,16.05,71.01,16.05,71.01,1
Parle Royal 360G,29.0,70.21,29.0,70.21,1
Green Grapes,24.27,70.09,24.27,70.09,1
Royal Chef Secret 40LB,2.0,69.98,2.0,69.98,1
Laxmi Jumbo Samosa,5.0,69.95,5.0,69.95,1
Vadilal Tandoori Garlic Naan 960g,7.0,69.93,7.0,69.93,1
Nanak Milk Cake 14 Oz,7.0,69.93,7.0,69.93,1
Gazab Tukmaria 400G,10.0,69.9,10.0,69.9,1
Nanak Rasmalai 8Pc,10.0,69.9,10.0,69.9,1
Laxmi Whole Chilli Red 400G,10.0,69.9,10.0,69.9,1
Gazab Raw Peanuts 4lb,10.0,69.9,10.0,69.9,1
Deep Roasted Upmamix(4Lb),10.0,69.9,10.0,69.9,1
Laxmi Dalia/ Split Chick- 800G,14.0,69.86,14.0,69.86,1
Telugu Dalia Splits 800g,14.0,69.86,14.0,69.86,1
Nilons Tooty Fruity 500G,14.0,69.86,14.0,69.86,1
Lg Hing - 100G,20.0,69.8,20.0,69.8,1
Deep Amla Slices 10 Oz,28.0,69.72,28.0,69.72,1
Laxmi Methi Seeds(200G),35.0,69.65,35.0,69.65,1
Bikaneri Special Papad 200G,35.0,69.65,35.0,69.65,1
Everest Pani Puri Masala 100g,35.0,69.65,35.0,69.65,1
Red Onions -25 Lb Bag,3.0,68.97,3.0,68.97,1
Cothas INstant Coffee 200g,6.0,68.94,6.0,68.94,1
Pooja Nuts Black,20.0,68.8,20.0,68.8,1
Swagat Besan 2Lb,23.0,68.77,23.0,68.77,1
Telugu Mango Avakaya 300G,23.0,68.77,23.0,68.77,1
Deep Lachcha Paratha 5pcs,23.0,68.77,23.0,68.77,1
Jiva Organic Coconut Milk,23.0,68.77,23.0,68.77,1
Gazab Maida 800G,23.0,68.77,23.0,68.77,1
Vadilal Amla Slices 312g,23.0,68.77,23.0,68.77,1
Laxmi Val Lilva - 310Gm,23.0,68.77,23.0,68.77,1
RAMBUTAN,14.1,68.25,14.1,68.25,1
ocean pearl classic basmati 10,4.0,67.96,4.0,67.96,1
IRON KADAI # 10,4.0,67.96,4.0,67.96,1
Falak Basmathi Rice 10Lb,6.0,67.94,6.0,67.94,1
Britannia Vanilla Cake 250G,17.0,67.83,17.0,67.83,1
Deep Besan 2Lb,17.0,67.83,17.0,67.83,1
Laxmi Masoor Whole 2Lb,17.0,67.83,17.0,67.83,1
Laxmi Paneer Paratha 400G,17.0,67.83,17.0,67.83,1
Dabur Mustard Oil 500Ml,17.0,67.83,17.0,67.83,1
Laxmi guntur sannam chilli whole 200g,17.0,67.83,17.0,67.83,1
Laxmi Round Red Chilies 200G,17.0,67.83,17.0,67.83,1
swagat peanut chikki 200g,27.0,67.23,27.0,67.23,1
Pears Blue Soap,27.0,67.23,27.0,67.23,1
Lux,27.0,67.23,27.0,67.23,1
Laxmi Kesar Mango Pulp(850G),15.0,66.85,15.0,66.85,1
Red Grapes /1Lb,19.04,66.46,19.04,66.46,1
Aara Fried Onion Wid Coated,19.0,66.31,19.0,66.31,1
BRITANNIA BOURBON 400G,19.0,66.31,19.0,66.31,1
Laxmi Sharbati Chap Flour 20Lb,3.0,65.97,3.0,65.97,1
Vadilal Malai Kulfi 1lt,6.0,65.94,6.0,65.94,1
A&B KAJU GUNJIYA 341G,6.0,65.94,6.0,65.94,1
Deep Cumin seeds 800 gm,6.0,65.94,6.0,65.94,1
Parachute Oil 1L,6.0,65.94,6.0,65.94,1
Deep Cow Ghee 15Oz,6.0,65.94,6.0,65.94,1
Telugu Sabudana 4Lb,11.0,65.89,11.0,65.89,1
Happy Leaf Idli Rava 4lb,11.0,65.89,11.0,65.89,1
Sliced Almonds,11.0,65.89,11.0,65.89,1
GRB Dates Halwa 400g,11.0,65.89,11.0,65.89,1
amul low fat dahi 1kg,11.0,65.89,11.0,65.89,1
Karachi bakery Millet Biscuit 300g,11.0,65.89,11.0,65.89,1
Laxmi Sooji Roasted 4Lb,11.0,65.89,11.0,65.89,1
Kawan Roti Chanai 15pcs,11.0,65.89,11.0,65.89,1
Deep Samosa 50pcs,12.0,65.88,12.0,65.88,1
Janaki Spicy Boondi-198Gm,22.0,65.78,22.0,65.78,1
Laxmi Juwar Flour 2Lb,22.0,65.78,22.0,65.78,1
Aha Karapusa 170g,22.0,65.78,22.0,65.78,1
Grb Ghee Bombay Halwa200g,22.0,65.78,22.0,65.78,1
"     Spices, Seasonings & Condiments",22.0,65.78,22.0,65.78,1
Vadilal Amla 312g,22.0,65.78,22.0,65.78,1
ORGANIC TATTVA TOOR DAL 4LB,5.0,64.95,5.0,64.95,1
Bru Coffee Super strong 1.1LB,5.0,64.95,5.0,64.95,1
Vadilal Kesar Pista Rasmalai 1Kg,5.0,64.95,5.0,64.95,1
CHAR MAGAZ 200G,10.0,64.9,10.0,64.9,1
Balaji Smokeless Camphor,13.0,64.87,13.0,64.87,1
Mtr Vermicelli 950Gm,13.0,64.87,13.0,64.87,1
Society Masala Tea 225G,13.0,64.87,13.0,64.87,1
Swetha Idli Rava 4lb,13.0,64.87,13.0,64.87,1
Laxmi Guar Beans Frozen 300gm,24.0,64.76,24.0,64.76,1
HERITAGE PEANUT BALLS,26.0,64.74,26.0,64.74,1
Ambika Appalam No.3,26.0,64.74,26.0,64.74,1
Britannia Good Day Cashew,65.0,64.35,65.0,64.35,1
Britannia Eggless Case Rusk 550G,15.0,64.35,15.0,64.35,1
Telugu Mini Muruku 6Oz,24.0,64.26,24.0,64.26,1
Deep Lachcha Paratha 20pic,8.0,63.92,8.0,63.92,1
Ponds magic 400gm,8.0,63.92,8.0,63.92,1
sri ganesh 1700g,8.0,63.92,8.0,63.92,1
Laxmi White Sesame Seeds 800 G,8.0,63.92,8.0,63.92,1
Britannia Nutri Choice 250g,13.0,63.87,13.0,63.87,1
Aara Fried Onion Non Coated,16.0,63.84,16.0,63.84,1
Adukale Menthyan kodubale 180g,16.0,63.84,16.0,63.84,1
Laxmi Masoor Dal 2Lb,16.0,63.84,16.0,63.84,1
Ramdev Brown Sesame seeds 400g,16.0,63.84,16.0,63.84,1
Telugu ragi idli rava 2lb,16.0,63.84,16.0,63.84,1
Deep Moong Dal 2lb,16.0,63.84,16.0,63.84,1
Everest Chaat Masala(100G),32.0,63.68,32.0,63.68,1
Everest Pav Bhaji Masala(100G),32.0,63.68,32.0,63.68,1
Famous Kala Chana 400G,32.0,63.68,32.0,63.68,1
Knorr Hong Kong 45G,32.0,63.68,32.0,63.68,1
088168150119,32.0,63.68,32.0,63.68,1
Parachute Coconut Oil 89ml,32.0,63.68,32.0,63.68,1
Chkn Tender,9.79,63.54,9.79,63.54,1
Vadilal Tandoori Naan 1.28kg,7.0,62.93,7.0,62.93,1
Roasted Dalia 2Lb Whole,9.0,62.91,9.0,62.91,1
Lx.Milk Cake 350Gm,9.0,62.91,9.0,62.91,1
Lx Malai Penda 350G,9.0,62.91,9.0,62.91,1
Urad Dal Split 4Lb,9.0,62.91,9.0,62.91,1
Vadilal Danedar Kesar Peda,9.0,62.91,9.0,62.91,1
Laxmi Garam Masala 200G,21.0,62.79,21.0,62.79,1
Janaki Plain Boondi 198G,21.0,62.79,21.0,62.79,1
Lx Kawan Chapatti 8 Pc,21.0,62.79,21.0,62.79,1
Laxmi Thick Poha 2 Lb,21.0,62.79,21.0,62.79,1
tongue cleaner,31.0,61.69,31.0,61.69,1
     candy,31.0,61.69,31.0,61.69,1
kitkat,31.0,61.69,31.0,61.69,1
lx peas & carrots 300g,31.0,61.69,31.0,61.69,1
Laxmi Turmeric Powder 200G,31.0,61.69,31.0,61.69,1
sdp sona masoori 20lb,2.0,59.98,2.0,59.98,1
24M Basmati White Rice 10Lb,2.0,59.98,2.0,59.98,1
Society Tea 900G,4.0,59.96,4.0,59.96,1
Dettol Antiseptic Liquid 550Ml,6.0,59.94,6.0,59.94,1
GRAMIYA GROUNDNUT OIL 1L,6.0,59.94,6.0,59.94,1
Tea India Tea Bags 216 bags,6.0,59.94,6.0,59.94,1
GANGOTHRI GONGURA GOAT PICKLE,6.0,59.94,6.0,59.94,1
Wooden Belan,6.0,59.94,6.0,59.94,1
SRIRACHA SAUCE 730ML,6.0,59.94,6.0,59.94,1
Swagat Urad Dal 4Lb,9.0,59.91,9.0,59.91,1
Tea India 1 Lb,10.0,59.9,10.0,59.9,1
Reddy's Shah Jeera 200gm,10.0,59.9,10.0,59.9,1
Sujata Gold Atta 4Lb,10.0,59.9,10.0,59.9,1
ramdev maida 4lb,10.0,59.9,10.0,59.9,1
Deep Sooji 4 Lb,10.0,59.9,10.0,59.9,1
ramdev chana dal 800g,10.0,59.9,10.0,59.9,1
Udupi Idli Rava 4Lb,10.0,59.9,10.0,59.9,1
Spices Combo,10.0,59.9,10.0,59.9,1
Laxmi Almond 400G,10.0,59.9,10.0,59.9,1
Lion Date Syrup 500ml,10.0,59.9,10.0,59.9,1
Laxmi Idly Rice 4Lb,10.0,59.9,10.0,59.9,1
Gazab Slivered Almond 200G,10.0,59.9,10.0,59.9,1
Laxmi Tamarind & Dates Chutney,10.0,59.9,10.0,59.9,1
T FOODS KASHMIRI 400G,10.0,59.9,10.0,59.9,1
DEEP ALPHONSO MANGO PULP,10.0,59.9,10.0,59.9,1
Deep Green Peas 2Lb,12.0,59.88,12.0,59.88,1
Telugu Jaggery Balls 2LB,12.0,59.88,12.0,59.88,1
Sri Ganesh Ragi Dosa Batter,12.0,59.88,12.0,59.88,1
Telugu Swetha Little Millet,12.0,59.88,12.0,59.88,1
Laxmi Tindora 908 G,12.0,59.88,12.0,59.88,1
Vadilal Pomegranate 312 gm,12.0,59.88,12.0,59.88,1
Daily Delight kerala mixture 400g,15.0,59.85,15.0,59.85,1
Mirch Masala Kolkata Jhal Chanachur 340g,15.0,59.85,15.0,59.85,1
Chutnefy Spicy Onion 75G,15.0,59.85,15.0,59.85,1
Britannia Milk Bikis 540g,15.0,59.85,15.0,59.85,1
Daily Delight GooseBerry 400gm,15.0,59.85,15.0,59.85,1
Mirch Masala Peanut Bhujia 340g,15.0,59.85,15.0,59.85,1
Deep Reshmi Naan 380G,15.0,59.85,15.0,59.85,1
Top Ramen Masala Noodles,15.0,59.85,15.0,59.85,1
Krack Jack 480Gm,15.0,59.85,15.0,59.85,1
AARA LADDU BESAN 2LB,15.0,59.85,15.0,59.85,1
Balaji Cornflakes Mixture340g,15.0,59.85,15.0,59.85,1
Deep Cumin Seeds(200G),15.0,59.85,15.0,59.85,1
Grb Ghee Pineapple Halwa 200g,20.0,59.8,20.0,59.8,1
Swagat ajwain seeds 200g,20.0,59.8,20.0,59.8,1
Laxmi Mysore Murmura 400g,20.0,59.8,20.0,59.8,1
Laxmi Methi Seeds 400Gm,20.0,59.8,20.0,59.8,1
Deep Ragi Flour-2Lb,20.0,59.8,20.0,59.8,1
Ramdev Poha Dagdi,20.0,59.8,20.0,59.8,1
Gazab Kolhapuri Jaggery 500g,20.0,59.8,20.0,59.8,1
Green Harvest Barnyard Millet 200G,20.0,59.8,20.0,59.8,1
Nuterala Soya Chunks 200gm,20.0,59.8,20.0,59.8,1
Aha kara Boondi,20.0,59.8,20.0,59.8,1
Laxmi Ginger Garlic Paste 8Oz,20.0,59.8,20.0,59.8,1
Dairy milk Fruit & nut 49g,30.0,59.7,30.0,59.7,1
Ching's Green Chilli Sau-200Gm,30.0,59.7,30.0,59.7,1
Laxmi Bay Leaves 57G,30.0,59.7,30.0,59.7,1
Swagat Basmati Mamra 400G,30.0,59.7,30.0,59.7,1
Laxmi Red Chilly Powder-800G,7.0,59.43,7.0,59.43,1
Britannia Milk Bikies 90G,60.0,59.4,60.0,59.4,1
gazab char magaz 100g,17.0,59.33,17.0,59.33,1
Dark Fantasy Choco Fills 75G,44.0,58.96,44.0,58.96,1
Deep Coconut Pwd 14Oz,13.0,58.87,13.0,58.87,1
Deep Plantain Chips 200Gm,15.0,58.85,15.0,58.85,1
Lx Date And Tamarind 32 Oz,6.0,57.95,6.0,57.95,1
Sprite 2 Lit,15.0,57.86,15.0,57.86,1
Mirch Masala Boondi-340G,15.0,57.85,15.0,57.85,1
Aeroplane Tamarind 200Gm,29.0,57.71,29.0,57.71,1
Parle Tasty Peanuts 340G,23.0,57.5,23.0,57.5,1
Parle Moong Dal 340G,23.0,57.5,23.0,57.5,1
Gopi Nonfat Yogurt 2Lb(32 Oz),16.0,57.34,16.0,57.34,1
Mysore Sandal Soap 125G,23.0,57.27,23.0,57.27,1
Parle Hot N Spicy Mix340g,23.0,57.27,23.0,57.27,1
Garvi Gujarat Bhakar Wadi 285g,23.0,57.27,23.0,57.27,1
Rexona 150G,23.0,57.27,23.0,57.27,1
Yellow Onions 5Lb,19.0,56.81,19.0,56.81,1
Idhayam Plain Boondi 340Gm,19.0,56.81,19.0,56.81,1
Balaji Fine Camphor/50Gm,19.0,56.81,19.0,56.81,1
Amma Plantain Chips 200G,19.0,56.81,19.0,56.81,1
Vadilal Grated Coconut 312 Gm,19.0,56.81,19.0,56.81,1
Laxmi Yellow Split Peas 2Lb,19.0,56.81,19.0,56.81,1
Gopuram Cotton Ropa Mala 4mtr,19.0,56.81,19.0,56.81,1
Fresh Masala Peanuts 170g,19.0,56.81,19.0,56.81,1
Hide&Seek Fab Cafe Mocha 75Gm,57.0,56.43,57.0,56.43,1
Top Ramen Atta Noodles,19.0,56.41,19.0,56.41,1
Hawkins Classic 5Lt,1.0,55.99,1.0,55.99,1
NDI bites Cocktail samosa 70 pieces,4.0,55.96,4.0,55.96,1
Indi Bites veg Spring Rolls 50pcs,4.0,55.96,4.0,55.96,1
Vadilal Pista Burfee 340G,7.0,55.93,7.0,55.93,1
SDP black kavuni rice,7.0,55.93,7.0,55.93,1
IDHAYAM PEANUT OIL 1L,7.0,55.93,7.0,55.93,1
Nanak Suger Free Rasmalai,8.0,55.92,8.0,55.92,1
Almond Oil 300Ml,8.0,55.92,8.0,55.92,1
Laxmi Whole Urad 4Lb,8.0,55.92,8.0,55.92,1
Telugu Roasted Rava 4Lb,8.0,55.92,8.0,55.92,1
Moong Dal(4Lb),8.0,55.92,8.0,55.92,1
Brum,14.0,55.86,14.0,55.86,1
Mirch Masala Matana Mix 340g,14.0,55.86,14.0,55.86,1
Mirch Masala Khatta Mitha 340g,14.0,55.86,14.0,55.86,1
Khansaama Crispy Fried onion 400gm,14.0,55.86,14.0,55.86,1
     bis,14.0,55.86,14.0,55.86,1
Kitchen Xpress Tindora 908g,14.0,55.86,14.0,55.86,1
Gazab Toor Dal 2Lb,14.0,55.86,14.0,55.86,1
Laxmi Red Chori(2 Lbs),14.0,55.86,14.0,55.86,1
Panda Brand Wet Tamrind 400Gm,14.0,55.86,14.0,55.86,1
Peanut Chutney 75,14.0,55.86,14.0,55.86,1
Mr Bombay Sandwichspread250G,14.0,55.86,14.0,55.86,1
Telugu Ponnaganti 200G,14.0,55.86,14.0,55.86,1
Mirch Masala Punjabi Mix 340g,14.0,55.85,14.0,55.85,1
