product,barcode,order,product_quantity,total_price,average_sales_price,average_cost_price,margin
iron tava flat #13,983461336,3,1.0,24.99,24.99,18.0,6.99
Plastic Mug,841970023046,15,19.0,47.31,2.49,1.6,16.91
SS Vatki Hammer # 5,983461207,1,6.0,14.94,2.49,1.2499999999999998,7.44
Hawkins Pressure Cooker Gasket,8901165202839,2,2.0,9.98,4.99,1.0,7.98
Clay Fish Curry Handi 2lt,983461229,1,1.0,19.99,19.99,11.999999999999998,7.99
Wooden Belan,943460785,6,6.0,59.94,9.99,7.989999999999999,12.0
IRON KADAI # 10,943460508,4,4.0,67.96,16.99,8.95,32.16
Idki Stand (3Plts),943460258,3,3.0,29.97,9.99,5.95,12.12
Ss pav bhaji plate 1pc,943460253,1,4.0,23.96,5.99,3.95,8.16
Ss Wire Jara,943460474,8,8.0,39.92,4.99,2.95,16.32
Copper Jug # 4,943461069,1,1.0,32.99,32.99,24.0,8.99
Dosa Tava Large 3mm,943460831,2,2.0,39.98,19.99,10.95,18.08
Ss Plate # 8,943460247,1,6.0,27.66,4.61,2.9499999999999997,9.96
Water Battle Plain,943460988,2,2.0,23.98,11.99,7.0,9.98
Aluminium flat kadai # 7,943460392,3,3.0,71.97,23.99,13.5,31.47
Kadai ss No.13,943460281,5,5.0,84.95,16.99,11.0,29.95
Ss Serving Spoon 3,943460636,10,12.0,47.88,3.99,2.1875000000000004,21.63
Clay Handi With Cover 2lt,943460610,1,1.0,34.99,34.99,18.000000000000004,16.99
Curd Pot (1.5lt),943460801,3,3.0,47.97,15.99,10.0,17.97
Non Stick Dosa Tawa,943460119,4,4.0,75.96,18.99,9.95,36.16
Goat steel plates,943460770,3,8.0,47.92,5.99,0.0,47.92
     Frozen Items / Frozen Sweets,,343,430.0,3683.8,8.65846153846154,5.968465116279071,1117.36
BRAR'S MOTICHOOR LADDO 350G,182757000103,3,3.0,23.97,7.99,4.999999999999999,8.97
BRAR'S MILK CAKE 350G,182757000196,2,4.0,39.96,9.99,6.0,15.96
BRAR'S MANGO RASMALAI 850G,182757000219,1,1.0,11.99,11.99,7.0,4.99
BRAR'S KHOA PERA 350G,182757000233,1,1.0,9.99,9.99,6.0,3.99
BRAR'S KHOA BARFI 350G,182757000264,1,1.0,9.99,9.99,6.0,3.99
BRAR'S KAJU KATLI 350G,182757000271,1,1.0,9.99,9.99,6.75,3.24
BRAR'S KAJU PISTA ROLL 350G,182757000288,3,3.0,32.97,10.99,6.75,12.72
BRAR'S MAKHANI 250G,182757000554,1,1.0,7.99,7.99,5.0,2.99
BRAR'S KESAR RASMALI 850G,182757000615,1,1.0,11.99,11.99,7.0,4.99
BRAR'S ELACHI RASMALAI 908G,182757000646,2,2.0,23.98,11.99,7.0,9.98
Himalaya Milk Cake 400g,651539992016,2,2.0,21.98,10.99,7.5,6.98
Daily Delight Neyyappam 350g,664648120393,2,2.0,7.98,3.99,2.7600000000000002,2.46
In Kajjikayalu,804589152163,2,2.0,13.98,6.99,4.0,5.98
MODA Classic Kunefe,850062520769,1,1.0,9.99,9.99,3.0,6.99
Vadilal Custard Apple 800G,8901777282557,8,9.0,125.91,13.99,11.399999999999999,23.31
VL CLASSIC MASKA BUN 100G,8901777472057,4,7.0,12.53,1.79,1.43,2.52
Vadilal Kaju Katli 340G,8901777554104,8,8.0,87.92,10.99,8.14,22.8
Vadilal Kesar Pista RAsmalai 454g,8901777558140,1,1.0,7.99,7.99,6.33,1.66
Vadilal Coconut Burfee,8901777569108,3,4.0,33.96,8.49,5.58,11.64
Vadilal Butter Scotch Burfee 340g,8901777590102,3,3.0,26.97,8.99,6.2,8.37
Haldirams Angoori Jamun 500g,8904063202789,6,7.0,48.93,6.99,4.4,18.13
Haldirams Gajar Halwa 283 G,8904063209641,7,10.0,34.9,3.49,2.9799999999999995,5.1
Haldirams Peda 340G,8904063211903,7,9.0,80.91,8.99,6.5,22.41
Haldiram Milk Burfee 12 pieces,8904063216762,5,5.0,47.95,9.59,7.030000000000001,12.8
Haldiram's Kaju Roll 340gm,8904063216779,5,6.0,75.94,12.59,9.200000000000001,20.74
HALDIRAM MOONG DAL HALWA 283G,8904063220394,2,2.0,11.98,5.99,4.0600000000000005,3.86
Haldiram Sweet Delight 500gm,8904063225290,3,3.0,29.97,9.99,6.7,9.87
Haldiram Rasmalai 2.2Lb,8904063253958,15,18.0,241.82,13.45666666666667,10.205555555555556,58.12
Haldiram's Motichur Ladoo 400G,8904063281319,18,18.0,103.82,5.767777777777778,3.8699999999999997,34.16
Haldiram's Dodha Burfi 340Gm,8904063281388,7,7.0,46.93,6.704285714285715,4.909999999999999,12.56
Haldiram's Kaju Katli 340G,8904063281401,17,17.0,172.83,10.16647058823529,7.500000000000001,45.33
Haldiram's Milk Cake 340G,8904063281470,25,27.0,230.73,8.51,5.05,94.38
Haldiram Rasmalai 500g,8904063281487,3,3.0,20.97,6.99,4.6,7.17
GRB Kaju Katli 1kg,8906010361501,3,3.0,50.97,16.99,13.25,11.22
Haldiram's Rasgulla Can (1Kg),8904063210029,1,1.0,4.99,4.99,4.33,0.66
laxmi rajma masala,723246291338,2,3.0,10.47,3.49,2.0000000000000004,4.47
Taaza malai sandwich 341gm,691046423009,1,1.0,6.99,6.99,5.41,1.58
Taaza champakali 341gm,691046423016,1,1.0,6.99,6.99,5.41,1.58
In Bandar Laddu,804589152088,1,1.0,6.99,6.99,4.75,2.24
karachi gulab jamun,8964003274542,4,4.0,27.96,6.99,4.0,11.96
Vadilal Khoa Mawa 341G,8901777517116,1,1.0,8.99,8.99,5.91,3.08
Anand Bhogh Boondi Laddu,691046423108,1,1.0,7.99,7.99,4.68,3.31
Vadilal Malai Peda,8901777576106,1,1.0,8.99,8.99,5.6,3.39
Nanak Rasmalai 12Pcs,797677718900,1,1.0,10.99,10.99,7.5,3.49
nanak Gajrela 850g,797677720286,2,2.0,21.98,10.99,7.5,6.98
Vadilal Gulab Jamun 16Ct,8901777582688,1,1.0,11.99,11.99,8.2,3.79
Nanak Gulabjamun 15Pc 2.2Lb,797677703302,2,2.0,17.98,8.99,6.7,4.58
Taaza Malai chum chum 341gm,691046422743,4,4.0,27.96,6.99,5.41,6.32
Vadilal Lachca Rabdi 454G,8901777573143,2,2.0,17.98,8.99,6.15,5.68
Nanak Suger Free Rasmalai,797677713400,7,8.0,55.92,6.99,5.0,15.92
Karachi Lacha Rabri,8964003274610,2,2.0,15.98,7.99,5.0,5.98
Taaza kala jamoon 341gm,691046423030,4,5.0,34.95,6.99,5.410000000000001,7.9
Nanak Rasmalai 8Pc,797677704804,9,10.0,69.9,6.99,5.000000000000001,19.9
Nanak Mango Rasmalai 850Gm,797677714605,3,4.0,39.96,9.99,7.5,9.96
Laxmi Paneer Jalebi 350Gm,723246289915,13,15.0,104.85,6.99,4.329999999999999,39.9
Amul Rosogolla 1kg,8901262050067,17,20.0,119.8,5.99,4.5,29.8
Nanak Moong Daal Halwa 850G,797677720217,3,5.0,49.95,9.99,7.6,11.95
Nanak Gulab Jamun 20Pcs,797677719945,7,7.0,76.93,10.99,7.000000000000001,27.93
Vadilal Kesar Pista Rasmalai 1Kg,8901777558164,5,5.0,64.95,12.99,9.018,19.86
Vadilal Danedar Kesar Peda,8901777579107,9,9.0,62.91,6.99,5.12,16.83
Lx Motichur (350G),723246289908,7,9.0,44.91,4.99,3.0799999999999996,17.19
Nanak Rasmalai Value Pack 1Kg,797677702404,15,15.0,164.85,10.99,8.5,37.35
Nanak Kesar Rasmalai,797677719105,15,15.0,164.85,10.99,7.5,52.35
Lx.Milk Cake 350Gm,723246289960,9,9.0,62.91,6.99,4.63,21.24
Lx Malai Penda 350G,723246289939,9,9.0,62.91,6.99,4.29,24.3
Lx Kesar Penda 350G,723246289953,11,14.0,97.86,6.99,4.29,37.8
Nanak Milk Cake 14 Oz,797677710201,6,7.0,69.93,9.99,6.540000000000001,24.15
Lx Kaju Katli 350G,723246289977,9,9.0,80.91,8.99,6.199999999999999,25.11
Lx Kaju Dryfruit Mix 350G,723246289991,9,11.0,98.89,8.99,6.2,30.69
Himalaya Kaju Katli 12Oz,651539992023,23,24.0,209.76,8.794347826086957,6.333333333333333,57.76
"     Rice, Grains & Flour Products / Atta",,298,309.0,3383.93,11.2458803986711,7.5123624595469245,1062.61
Deep 5 star premium Atta 10lb,011433165297,1,1.0,10.99,10.99,7.0,3.99
Swarna Chakki Atta 20 Lbs,873106004551,5,5.0,74.95,14.99,9.99,25.0
Swarna Chakki Atta 4Lbs,873106004643,20,20.0,79.8,3.99,2.4,31.8
Sujata Chikki Atta 20Lb,8906000210901,1,1.0,28.99,28.99,20.0,8.99
Sujata Multigrain Roti 12pcs,871950001146,4,5.0,14.95,2.99,1.65,6.7
Gzb Chakkai Atta 4Lb,841970025101,14,15.0,74.85,4.99,2.9999999999999996,29.85
Aashirvaad Lowgi Atta10Lb,841905080090,9,7.0,117.93,16.87888888888889,12.371428571428572,31.33
Aashirvaad Ww Atta 20 Lb,841905080007,5,5.0,94.95,18.99,13.0,29.95
Sujata Multigrain Atta 10 Lb,871950000514,5,5.0,79.95,15.99,9.25,33.7
Deep 5Star Premium Atta 10lb,11433165297,3,3.0,32.97,10.99,6.95,12.12
Laxmi Chakki Atta /20Lb,chikki,2,2.0,33.98,16.99,11.999999999999998,9.98
Laxmi Sharbati Chap Flour 20Lb,lsa20,3,3.0,65.97,21.99,14.75,21.72
Sujata Gold Atta 4Lb,871950000668,9,10.0,59.9,5.99,3.8,21.9
Laxmi Chakki Atta 10Lb,723246289380,11,11.0,109.89,9.99,6.869999999999999,34.32
Sujata Gold Atta 20 Lb,871950000682,6,6.0,131.94,21.99,15.25,40.44
Sujata Atta 4Lb,871950000453,19,20.0,99.8,4.99,2.9,41.8
Sujata Atta 20 Lb,sa20,19,17.0,322.83,18.99,13.25,97.58
Aashirvaad Mult 20Lb,841905080076,7,7.0,195.93,27.99,21.75,43.68
Asv Aata With Millets 10 Lb,841905080779,22,22.0,415.78,18.89909090909091,13.125,127.03
Aashirvaad Ww Flour 10Lb,841905080021,25,25.0,309.75,12.39,8.3,102.25
Aashirvad Ww Atta 4Lb,841905080038,45,48.0,251.52,5.234444444444445,3.5177083333333337,82.67
Aashirvad Multigrain 10Lb,8901725118358,32,32.0,496.7,15.521875,11.578125,126.2
Aashirvaad Mult Flour 4Lb,841905080052,34,39.0,279.61,7.166470588235294,4.615384615384615,99.61
"     Rice, Grains & Flour Products / Poha, Mamra & Sabudana",,589,654.0,2566.96,3.968434504792332,2.5001681957186546,931.85
Bansi Bajara Murmura 340G,011433164122,1,1.0,3.99,3.99,2.4000000000000004,1.59
Swagat Daliya Split 400gm,643864917437,55,56.0,167.44,2.99,2.0,55.44
Laxmi Thin Poha 4lb,723246236087,3,3.0,17.97,5.99,3.5199999999999996,7.41
swetha kolhapuri mamara 400g,810193640132,9,9.0,26.91,2.99,1.6533333333333333,12.03
Swetha basmati mamara 400g,810193640149,14,15.0,44.85,2.99,1.6,20.85
Ramdev poha corn 800g,8902188346104,3,3.0,8.97,2.99,1.8,3.57
Ramdev Sabudana 4lb,8902188371212,4,4.0,19.96,4.99,3.4000000000000004,6.36
Adani Big Fryin Sabudana 200Gm,8904147402159,1,1.0,0.99,0.99,0.75,0.24
Mother's Surti Kurmura 400Gm,8907316000590,2,2.0,5.98,2.99,1.0100000000000002,3.96
Mother's Kolhapu Kurmura 400Gm,8907316000606,2,2.0,5.98,2.99,1.4500000000000002,3.08
Mother's Basmati Murmura 400gm,8907316000613,5,7.0,13.93,1.99,0.8785714285714284,7.78
Adani Nylon Poha 400g,8904147402593,6,7.0,13.93,1.99,1.1999999999999997,5.53
Telugu Sabudana 4Lb,8906081383013,12,11.0,65.89,5.99,3.8,24.09
Aara Sabudana Sago 400Gm,857038006180,9,10.0,24.9,2.49,1.3499999999999999,11.4
Bansi Ragi Murmura 340G,011433164108,3,3.0,10.47,3.49,2.25,3.72
Swagat Phool Makhana,643864916928,1,1.0,8.99,8.99,6.4,2.59
Telugu Poha Thick 4Lb,8906081388018,1,1.0,6.99,6.99,4.4,2.59
Laxmi Sabudana 4Lb,723246121550,2,2.0,11.98,5.99,4.5,2.98
Bansi Poha Thin 2Lb,011433115681,3,3.0,8.97,2.99,1.75,3.72
Gazab Basmati Mamra 400G,864951101182,2,2.0,5.98,2.99,1.0000000000000002,3.98
Falak LOW GI Basmati rice 10lb,8961100096480,4,4.0,47.96,11.99,8.0,15.96
Udupi Red Poha 400 Gm,011433152723,16,18.0,35.82,1.99,1.2999999999999998,12.42
Aara Sago 200G,857038006197,10,11.0,16.39,1.49,0.7000000000000001,8.69
Bansi Corn Murmura 340G,011433164115,8,8.0,39.92,4.99,3.4000000000000004,12.72
Gazab Poha Thick 4Lb,864951101205,2,2.0,11.98,5.99,3.6,4.78
Gazab Corn Poha 400G,841970015560,3,3.0,8.97,2.99,1.37,4.86
RAM POHA NYLON 2LB,8902188348207,29,29.0,86.71,2.99,1.7399999999999998,36.25
Aara Pipe-yellow Colour 400g,853985008970,12,12.0,29.88,2.49,1.5,11.88
Aara Sabudana 2Lb,857038006173,20,16.0,55.84,3.49,2.0,23.84
Laxmi Poha Thin 4 Lb,7232462360870,7,5.0,29.95,5.99,3.85,10.7
Swagat Basmati Mamra 400G,784696301886,27,30.0,59.7,1.99,1.1,26.7
Aara Kolhapuri Mamra 400G,852984006475,5,5.0,14.95,2.99,1.4999999999999998,7.45
Laxmi Red Poha 400G,723246291765,19,20.0,39.8,1.99,1.02,19.4
Laxmi Mamra Basmati 400G,723246121390,41,40.0,119.6,2.99,1.5999999999999999,55.6
Laxmi Kolhapuri Mamra400G,723246236032,40,40.0,119.6,2.99,2.0,39.6
Aara Phool Makhana 200G,853985008901,3,3.0,26.97,8.99,5.599999999999999,10.17
Laxmi Mysore Murmura 400g,723246284903,18,20.0,59.8,2.99,2.3,13.8
RAM POHA THIN 2LB,8902188349204,28,30.0,89.7,2.99,1.3800000000000001,48.3
Laxmi Thin Poha 800Gm,723246121420,10,10.0,39.9,3.99,2.2,17.9
Laxmi Thick Poha 2 Lb,723246121260,17,21.0,62.79,2.99,2.0999999999999996,18.69
Udupi Mysore Murmura 300Gm,011433152853,38,44.0,153.06,3.476842105263158,2.2,56.26
RAM POHA THICK 2LB,8902188350200,46,52.0,155.48,2.99,1.5799999999999998,73.32
Laxmi Sabudana 2 Lb,723246121314,21,21.0,83.79,3.99,2.2700000000000005,36.12
Laxmi Thick Poha 4 Lb,723246121512,14,16.0,95.84,5.99,3.7,36.64
Laxmi Phool Makhana 200G,723246211381,25,25.0,197.75,7.91,5.936,49.35
Laxmi Phool Makhana 400G,723246288673,25,26.0,409.74,15.79,12.007692307692308,97.54
     Beverages / Drinks,,990,1418.0,3975.64,3.001018935978359,1.6690479548660084,1608.93
Coco India Coconut N Water llt,8901088757768,19,19.0,76.9,4.047368421052632,3.99,1.09
Foco Lychee Nectar,016229901226,3,3.0,4.47,1.49,0.8099999999999999,2.04
Sprite drink Mexico 500ml,049000047837,1,1.0,5.99,5.99,3.5,2.49
Sprite 2 Lit,049000050158,15,15.0,57.86,3.857333333333334,2.68,17.66
Fanta 2 Lit,049000050257,13,13.0,48.87,3.759230769230769,1.88,24.43
MIXED FRUIT,4796008920865,1,1.0,2.99,2.99,2.0,0.99
Dabur Real 100% Apple Juice 1lt,4796008921121,2,2.0,6.98,3.49,2.3500000000000005,2.28
Tazza Mango Juice 2LB,629040005372,6,6.0,23.94,3.99,2.6683333333333334,7.93
Rubicon Pomgranate,64579007594,1,1.0,2.99,2.99,2.1,0.89
Meharban Mango,723246286464,3,3.0,8.97,2.99,1.5000000000000002,4.47
Frooti Case 27X200Ml,78902579100024,3,3.0,35.97,11.99,8.5,10.47
Gazab Mixed Fruit Drink 2 Lite,810070982874,2,2.0,6.98,3.49,3.0,0.98
Gazab Aloe Pomegranate 290Ml,810070982980,2,2.0,3.98,1.99,1.0,1.98
NAMAI FRESH LYCHEE JUICE 330ml,810071909214,10,13.0,25.87,1.99,1.0000000000000002,12.87
Famous Basil Seed 290 Ml,8517340034296,3,3.0,5.97,1.99,0.71,3.84
Vedic Triphala Juice 500ml,8525180068104,2,2.0,13.98,6.99,5.0,3.98
Chaokoh Coconut Water,8850367992157,6,6.0,23.94,3.99,2.45,9.24
Dabur Real Mango Nector 1 L,8901207028533,6,6.0,17.94,2.99,2.0,5.94
Thums Up Can 300Ml,8901764041105,18,26.0,51.74,1.99,0.8500000000000001,29.64
Thumbsup,8901764042300,71,73.0,364.27,4.99,3.3,123.37
maaza mango 1.2 ltr,8901764092305,22,22.0,87.78,3.99,0.0,87.78
APPY FIZZ 250 ml,8902579002039,8,13.0,12.87,0.99,0.5199999999999999,6.11
Masala Jeera Kashmira 300ml,8906100881865,9,10.0,29.9,2.99,2.0,9.9
Mother's Rose Syrup 715ml,8907316006370,2,2.0,5.98,2.99,1.6000000000000003,2.78
Famous Pomegranate Basil Seed 290ml,8935270800635,6,8.0,15.92,1.99,0.78125,9.67
Famous Basil Seed Honey Juice 290ml,8936177701186,2,2.0,3.98,1.99,0.7,2.58
Famous Coco Milk 400g,8936225842014,12,15.0,29.85,1.99,0.7086666666666669,19.22
REFRESH PUNCH 1LIT,8964000702758,2,2.0,4.98,2.49,1.3300000000000003,2.32
Gazab Pink Guava 2 Liter,810070982850,4,4.0,18.96,4.74,3.0,6.96
Gazab Aloe Vera Strawberry,810070982997,4,5.0,9.95,1.99,0.9999999999999998,4.95
NAMAI FRESH GUAVA JUICE 330ml,810071909221,18,21.0,41.79,1.99,1.0,20.79
Gazab Basil Seed Pineapple,8855044016805,4,4.0,7.96,1.99,1.0,3.96
AMUL CAFE CINAMON 200ML,8901262152075,1,1.0,1.99,1.99,1.0,0.99
GZ BOBBA TEA 290ML,810070983635,3,3.0,5.97,1.99,0.9899999999999999,3.0
Amul Lassi,8901262200172,1,1.0,3.99,3.99,2.83,1.16
THUMS UP ENERGY DRINK,679771036107,7,11.0,10.89,0.99,0.63,3.96
THUMS UP ORANGE,679771158694,4,5.0,4.95,0.99,0.6300000000000001,1.8
Dabur Orange Juice 1lt,4796008920575,11,14.0,40.86,2.899090909090909,2.0,12.86
Gazab Basil Seed Cocktail,8855044025319,2,2.0,3.98,1.99,1.0,1.98
Gazab Basil Seed Drink,8855044044976,2,2.0,3.98,1.99,1.0,1.98
Real Masala Guava,8901207027994,8,8.0,23.92,2.99,2.0,7.92
REFRESH MANGO 1LT,8964000702765,3,3.0,7.47,2.49,1.3299999999999998,3.48
REFRESH GUVAVA 1 LIT,8964001292357,4,5.0,12.45,2.49,1.3299999999999998,5.8
Maaza Lychee 330Ml,755270000518,6,7.0,13.93,1.99,1.1999999999999997,5.53
Maaza Lychee - 1 Lt,755270000310,5,6.0,23.94,3.99,2.58,8.46
Gazab Aloe Vera Mango 290Ml,810070982966,12,12.0,23.88,1.99,0.9999999999999999,11.88
GAZAB ALOE PINAPPLE DRINK,810070983017,5,8.0,15.92,1.99,1.0,7.92
GZ BROWN SUGAR 290ML,810070983628,8,11.0,21.89,1.99,1.0,10.89
Maaza Guava Juice 330Ml,755270000556,15,20.0,39.8,1.99,1.1999999999999997,15.8
Coke,04918202,3,3.0,10.97,3.656666666666667,0.45000000000000046,9.62
Vedic Karela Juice 500ml,8525180068036,3,4.0,23.96,5.99,4.75,4.96
Dabur Real Green Mango 1L,8901207018572,10,10.0,29.9,2.99,2.0,9.9
Dabur Alphonso Mango 1L,8901207028014,12,13.0,38.87,2.99,2.0,12.87
Coca Cola 2 Lit,049000050103,11,11.0,42.9,3.9,1.88,22.22
Gazab Honey Flavor 290Ml,8855044020550,12,12.0,23.88,1.99,0.9199999999999999,12.84
NAMAI FRESH MANGO JUICE 330ml,810071909207,16,17.0,33.83,1.99,0.9705882352941176,17.33
Gazab Aloe Orange 290Ml,810070983024,8,11.0,21.89,1.99,1.0,10.89
GZ THAI TEA 290ML,810070983642,5,5.0,9.95,1.99,0.9999999999999998,4.95
Dabur Guava Drink 1lt,8901207027512,9,10.0,29.9,2.99,2.0,9.9
Meharbon Juice 3Lt,723246287485,7,7.0,40.93,5.847142857142857,4.1,12.23
Bambina Badam Drink 200g,8904477301368,6,11.0,14.19,1.29,0.0,14.19
Gazab Basil Seed Orange,8855044032386,9,9.0,17.91,1.99,1.0,8.91
Dabur Real Litchi 1lt,8901207018596,9,11.0,32.89,2.99,2.0,10.89
Gazab Basil Seed Pomegranate,8855044025326,12,13.0,25.87,1.99,1.0000000000000002,12.87
PINEAPPLE NECTAR,pin,13,14.0,49.86,3.528461538461539,2.0,21.86
Maaza Mango Juice 330Ml,maza,29,38.0,75.62,1.99,1.4200000000000002,21.66
Maaza Guava Btl- 1 Lt,755270000358,20,21.0,83.79,3.99,2.41,33.18
Amul Badam Shake,8901262151344,10,16.0,31.84,1.99,1.2,12.64
Maaza Mango Glass Bttl 1 Lt,755270000365,26,30.0,119.7,3.99,2.5,44.7
Gopi Lassie Salted 473Ml,796252300158,30,43.0,107.07,2.49,1.5999999999999996,38.27
Water bottle 40 BOTTLE,wb,71,84.0,510.55,6.332112676056338,5.5,48.55
Amul cool drink,8901262151306,25,39.0,77.61,1.99,1.2,30.81
Amul Spiced Butter Milk 1Lt,8901262200233,29,36.0,179.64,4.99,2.7499999999999996,80.64
Amul honey 250g,8901262275699,18,18.0,71.82,3.99,1.7499999999999996,40.32
Frooti Pet Bottle 500g,8902579104016,34,37.0,73.63,1.99,0.6699999999999998,48.84
Real Coconut Water 1Lt,656274000279,26,39.0,233.61,5.99,3.58,93.99
Frooti 6 Packs,8902579100087,28,28.0,111.72,3.99,1.83,60.48
Frooti - 200 Ml Individual,8902579100025,164,265.0,260.37,0.9779268292682927,0.4,154.37
Limca Can 300 Ml,8901764051258,77,136.0,270.64,1.99,0.85,155.04
     Health & Personal Care / Personal Hygiene,,541,849.0,3102.54,3.835628075253256,1.9170789163722024,1474.94
Equate Tounge cleaner 2,681131402965,4,4.0,7.87,1.96725,3.48,-6.05
pia beauty squad 100g,197644005772,1,1.0,4.99,4.99,3.0,1.99
Vatika Henna Sampoo,5022496009843,4,4.0,27.96,6.99,4.1,11.56
Vatika Henna Natural Brown,5022496010191,1,1.0,3.99,3.99,2.5500000000000003,1.44
vatika henna jet black,5022496011921,4,4.0,15.96,3.99,2.5500000000000003,5.76
Dabur Aloevera T.Paste 100Ml,5022496018463,1,1.0,3.99,3.99,2.25,1.74
Vatika Shea Buttershampoo425Ml,5022496018586,1,1.0,5.99,5.99,4.1000000000000005,1.89
Vatika Avocado Shampoo 425Ml,5022496018616,2,2.0,9.98,4.99,4.1000000000000005,1.78
Vatika Neem 100G,5022496019811,6,6.0,11.94,1.99,0.7499999999999999,7.44
Himalaya Neem Scrub 150Ml,605069500616,1,1.0,6.99,6.99,4.1,2.89
Himalaya Almond Soap 125G,605069500685,3,3.0,5.97,1.99,1.2,2.37
Himalaya Cucumber Soap 125G,605069500715,1,2.0,3.98,1.99,1.2,1.58
Himalay Intensive Body Lotion,605069500838,2,2.0,15.98,7.99,4.380000000000001,7.22
Himalaya Soothing Body Lotion,605069500869,1,1.0,7.99,7.99,4.75,3.24
Vicco Vajradanti Funnel 200g,8901288312095,5,5.0,19.95,3.99,2.2,8.95
Colgate Lemon Salt/200Gm,8901314009173,6,7.0,27.93,3.99,2.5,10.43
Meera Herbal Hairwash Pwd 120G,8902979023177,7,7.0,27.93,3.99,1.5,17.43
LIRIL SOAP 100gms,8901030844744,1,1.0,1.49,1.49,1.0,0.49
Colgate Vedshakti 200G,8901314792792,4,5.0,19.95,3.99,3.5,2.45
Mysore Sandal Gold Soap 125G,8901287101010,5,6.0,14.94,2.49,1.91,3.48
Himalaya Neem & Turmeric Soap,605069500708,4,4.0,7.96,1.99,1.2,3.16
SHINGAR,8904125708006,3,4.0,7.96,1.99,1.2,3.16
Margo 100Gm,8902102230472,9,13.0,12.87,0.99,0.6799999999999999,4.03
Vatika Black Sesmae 100G,5022496019781,2,2.0,3.98,1.99,0.75,2.48
Vatika Alomond 100G,5022496019873,4,4.0,7.96,1.99,0.75,4.96
Vatika Sandalwood 100G,5022496019903,5,11.0,21.89,1.99,0.75,13.64
Hamam 100G,8901030907449,4,4.0,7.96,1.99,1.3,2.76
lux fresh Glow 150g 3pack,8901030970214,1,1.0,2.99,2.99,1.5000000000000002,1.49
Mysore Sandal Soap 75G,723246103099,2,2.0,3.98,1.99,1.2,1.58
Dabur Blackseed T.Paste 100Ml,5022496018432,1,1.0,3.99,3.99,2.25,1.74
Vatika Hibiscus Shampoo 425Ml,5022496018555,2,2.0,11.98,5.99,4.1000000000000005,3.78
DOVE CREAM BAR,8901030795589,9,16.0,31.84,1.99,1.0,15.84
Mysore Sandal Classic 125Gm,8901287101812,13,18.0,44.82,2.49,1.5,17.82
Yardley 100Gm,8903105011549,6,7.0,13.93,1.99,1.0,6.93
Bigen 57 Dark Brown Hair Color,9041,1,1.0,4.99,4.99,3.0,1.99
Active Wheel 210G,8901030974007,8,9.0,17.91,1.99,1.25,6.66
Ayur shampoo amla(500ml),8906032325079,1,1.0,5.99,5.99,3.75,2.24
Vatika Turmeric 100G,5022496019002,10,13.0,25.87,1.99,0.75,16.12
Lemon Shampoo 400ML,5022496001663,1,1.0,6.99,6.99,4.1,2.89
Vatika Argan Shampoo 400Ml,5022496006187,3,3.0,20.97,6.99,4.1,8.67
Vatika Shikakai,5022496009874,2,2.0,13.98,6.99,4.1,5.78
Cinthol Health Soap,8901023022494,8,10.0,19.9,1.99,1.2599999999999998,7.3
Chandrika Soap 125G,8901399022012,14,23.0,45.77,1.99,1.2500000000000002,17.02
Dermicool Regular Powder 150gm,8901248164276,5,5.0,19.95,3.99,2.5,7.45
Nivea Cream,42204251,5,5.0,24.95,4.99,3.25,8.7
Dabur Herbal Toothpaste Imperi,5022496101301,3,4.0,15.96,3.99,2.25,6.96
Vicco Vajradanti Cinnamon200g,8901288412092,5,5.0,19.95,3.99,2.2,8.95
Lifebuoy 125G,8901030916908,8,13.0,25.87,1.99,1.25,9.62
Surf Excel 400G,8901030843143,3,4.0,11.96,2.99,2.0,3.96
Himalaya Complete Care 175G,605069500401,8,9.0,35.91,3.99,1.9999999999999996,17.91
Himalaya Bright White 175G,605069500418,6,6.0,23.94,3.99,2.0000000000000004,11.94
Dabur Meswak 200G,8901207033346,2,2.0,7.98,3.99,2.0,3.98
VICCO TURMERIC LOTION 200ML,8901288052007,5,5.0,19.95,3.99,2.12,9.35
Dabur Herbal Clove Toothp 100M,5022496100854,15,15.0,44.85,2.99,1.6,20.85
Ayur Cold Wax,8906032325819,2,2.0,5.98,2.99,0.875,4.23
Mysore Sandals Rose,8901287111118,7,8.0,29.52,3.69,1.5,17.52
yardley london lavender soap,8903105011501,7,8.0,15.92,1.99,1.08,7.28
Himalaya Foot Care Cream,605069500500,1,1.0,4.99,4.99,0.0,4.99
Himalaya nourishing baby oil 200ml,605069501293,2,2.0,9.98,4.99,1.5500000000000003,6.88
Himalaya Mint Fresh 175G,605069500432,8,9.0,35.91,3.99,2.0999999999999996,17.01
Santoor Soap Large 150G,8901399005169,3,6.0,14.94,2.49,1.5399999999999998,5.7
Pears Blue Soap,856097008555,21,27.0,67.23,2.49,1.5,26.73
Rexona 150G,8901030964954,17,23.0,57.27,2.49,1.5,22.77
Colgate Herbal 200Gm,8901314310033,20,20.0,79.8,3.99,3.0,19.8
Himalaya Fairness Mask,605069500760,3,3.0,17.97,5.99,2.133333333333333,11.57
Reshma Face Wash(150Ml),856137007555,1,1.0,5.99,5.99,0.0,5.99
reshma rose face wash,856137007708,2,2.0,11.98,5.99,1.2999999999999998,9.38
sundelight dry dates 7oz,714760840430,15,15.0,44.85,2.99,1.75,18.6
